id,mu_global,share,seq,FAO90,sand,silt,clay,usda_tex,ref_bd,bd,C,SOC
1,7001,100,1,"Urban, mining, etc.",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,7002,100,1,Humanly disturbed,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,7003,100,1,Water bodies,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,7004,100,1,Fibric Histosols,20,40,40,clay (light),1.26,0.1,33.63,100.89
5,7005,100,1,Glaciers,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,7006,70,1,Vitric Andosols,74,21,5,sandy loam,1.68,0.99,3.27,97.119
7,7006,20,2,Haplic Andosols,72,16,12,sandy loam,1.55,0.99,3.43,101.871
8,7006,10,3,Gelic Andosols,41,40,19,loam,1.42,0.76,6.44,146.832
9,7007,80,1,Vitric Andosols,74,21,5,sandy loam,1.68,0.99,3.27,97.119
10,7007,20,2,Haplic Andosols,72,16,12,sandy loam,1.55,0.99,3.43,101.871
11,7008,90,1,Vitric Andosols,74,21,5,sandy loam,1.68,0.99,3.27,97.119
12,7008,10,2,Gelic Histosols,18,61,21,silt loam,1.36,0.26,35.27,275.106
13,7009,90,1,Vitric Andosols,74,21,5,sandy loam,1.68,0.99,3.27,97.119
14,7009,10,2,Gelic Histosols,18,61,21,silt loam,1.36,0.26,35.27,275.106
15,7010,90,1,Vitric Andosols,74,21,5,sandy loam,1.68,0.99,3.27,97.119
16,7010,10,2,Mollic Gleysols,39,39,22,loam,1.39,1.28,1.65,63.36
17,7011,100,1,Vitric Andosols,74,21,5,sandy loam,1.68,0.99,3.27,97.119
18,7012,100,1,Albic Arenosols,88,7,5,sand,1.7,1.62,0.4,19.44
19,7013,80,1,Cambic Arenosols,89,6,5,sand,1.7,1.57,0.5,23.55
20,7013,10,2,Luvic Calcisols,45,29,26,loam,1.38,1.44,0.58,25.056
21,7013,10,3,Haplic Solonchaks,34,41,25,loam,1.36,1.25,0.46,17.25
22,7014,90,1,Cambic Arenosols,89,6,5,sand,1.7,1.57,0.5,23.55
23,7014,10,2,Mollic Gleysols,39,39,22,loam,1.39,1.28,1.65,63.36
24,7015,90,1,Cambic Arenosols,89,6,5,sand,1.7,1.57,0.5,23.55
25,7015,5,2,Dystric Gleysols,40,39,21,loam,1.4,1.3,1.17,45.63
26,7015,5,3,Gelic Gleysols,37,46,17,loam,1.43,1.44,3.14,135.648
27,7016,90,1,Cambic Arenosols,89,6,5,sand,1.7,1.57,0.5,23.55
28,7016,10,2,Haplic Kastanozems,37,42,21,loam,1.39,1.28,1.2,46.08
29,7017,90,1,Cambic Arenosols,89,6,5,sand,1.7,1.57,0.5,23.55
30,7017,10,2,Ferric Podzols,86,8,6,loamy sand,1.67,1.41,2.02,85.446
31,7018,90,1,Cambic Arenosols,89,6,5,sand,1.7,1.57,0.5,23.55
32,7018,10,2,Cambic Arenosols,89,6,5,sand,1.7,1.57,0.5,23.55
33,7019,90,1,Cambic Arenosols,89,6,5,sand,1.7,1.57,0.5,23.55
34,7019,10,2,Gelic Regosols,26,63,11,silt loam,1.47,1.33,1.15,45.885
35,7020,90,1,Cambic Arenosols,89,6,5,sand,1.7,1.57,0.5,23.55
36,7020,10,2,Haplic Solonchaks,34,41,25,loam,1.36,1.25,0.46,17.25
37,7021,100,1,Cambic Arenosols,89,6,5,sand,1.7,1.57,0.5,23.55
38,7022,90,1,Calcaric Cambisols,76,12,12,sandy loam,1.55,1.48,0.36,15.984
39,7022,10,2,Calcic Chernozems,13,42,45,silty clay,1.24,1.16,2.1,73.08
40,7023,80,1,Humic Cambisols,41,36,23,loam,1.39,1.1,2.72,89.76
41,7023,10,2,Dystric Cambisols,75,15,10,sandy loam,1.58,1.49,0.7,31.29
42,7023,10,3,Rendzic Leptosols,76,16,8,sandy loam,1.61,1.45,1.93,83.955
43,7024,80,1,Humic Cambisols,41,36,23,loam,1.39,1.1,2.72,89.76
44,7024,10,2,Eutric Cambisols,23,29,48,clay (light),1.25,1.28,1.17,44.928
45,7024,10,3,Mollic Leptosols,74,16,10,sandy loam,1.57,1.45,1.04,45.24
46,7025,80,1,Humic Cambisols,41,36,23,loam,1.39,1.1,2.72,89.76
47,7025,10,2,Eutric Podzoluvisols,35,54,11,silt loam,1.49,1.36,1.2,48.96
48,7025,10,3,Dystric Gleysols,40,39,21,loam,1.4,1.3,1.17,45.63
49,7026,80,1,Humic Cambisols,41,36,23,loam,1.39,1.1,2.72,89.76
50,7026,10,2,Eutric Podzoluvisols,35,54,11,silt loam,1.49,1.36,1.2,48.96
51,7026,10,3,Gelic Gleysols,37,46,17,loam,1.43,1.44,3.14,135.648
52,7027,80,1,Humic Cambisols,41,36,23,loam,1.39,1.1,2.72,89.76
53,7027,10,2,Eutric Podzoluvisols,35,54,11,silt loam,1.49,1.36,1.2,48.96
54,7027,10,3,Ferric Podzols,86,8,6,loamy sand,1.67,1.41,2.02,85.446
55,7028,80,1,Humic Cambisols,41,36,23,loam,1.39,1.1,2.72,89.76
56,7028,10,2,Eutric Podzoluvisols,35,54,11,silt loam,1.49,1.36,1.2,48.96
57,7028,10,3,Gelic Regosols,26,63,11,silt loam,1.47,1.33,1.15,45.885
58,7029,80,1,Humic Cambisols,41,36,23,loam,1.39,1.1,2.72,89.76
59,7029,20,2,Eutric Podzoluvisols,35,54,11,silt loam,1.49,1.36,1.2,48.96
60,7030,80,1,Humic Cambisols,41,36,23,loam,1.39,1.1,2.72,89.76
61,7030,10,2,Dystric Gleysols,40,39,21,loam,1.4,1.3,1.17,45.63
62,7030,10,3,Ferric Podzols,86,8,6,loamy sand,1.67,1.41,2.02,85.446
63,7031,80,1,Humic Cambisols,41,36,23,loam,1.39,1.1,2.72,89.76
64,7031,20,2,Haplic Greyzems,25,54,21,silt loam,1.37,1.31,1.6,62.88
65,7032,80,1,Humic Cambisols,41,36,23,loam,1.39,1.1,2.72,89.76
66,7032,10,2,Gelic Gleysols,37,46,17,loam,1.43,1.44,3.14,135.648
67,7032,10,3,Ferric Podzols,86,8,6,loamy sand,1.67,1.41,2.02,85.446
68,7033,80,1,Humic Cambisols,41,36,23,loam,1.39,1.1,2.72,89.76
69,7033,10,2,Ferric Podzols,86,8,6,loamy sand,1.67,1.41,2.02,85.446
70,7033,10,3,Gelic Regosols,26,63,11,silt loam,1.47,1.33,1.15,45.885
71,7034,90,1,Humic Cambisols,41,36,23,loam,1.39,1.1,2.72,89.76
72,7034,10,2,Gelic Histosols,18,61,21,silt loam,1.36,0.26,35.27,275.106
73,7035,90,1,Humic Cambisols,41,36,23,loam,1.39,1.1,2.72,89.76
74,7035,10,2,Dystric Cambisols,75,15,10,sandy loam,1.58,1.49,0.7,31.29
75,7036,90,1,Humic Cambisols,41,36,23,loam,1.39,1.1,2.72,89.76
76,7036,10,2,Eutric Cambisols,23,29,48,clay (light),1.25,1.28,1.17,44.928
77,7037,90,1,Humic Cambisols,41,36,23,loam,1.39,1.1,2.72,89.76
78,7037,10,2,Eutric Podzoluvisols,35,54,11,silt loam,1.49,1.36,1.2,48.96
79,7038,90,1,Humic Cambisols,41,36,23,loam,1.39,1.1,2.72,89.76
80,7038,10,2,Gleyic Podzoluvisols,32,49,19,loam,1.4,1.35,2.22,89.91
81,7039,90,1,Humic Cambisols,41,36,23,loam,1.39,1.1,2.72,89.76
82,7039,10,2,Rendzic Leptosols,76,16,8,sandy loam,1.61,1.45,1.93,83.955
83,7040,90,1,Humic Cambisols,41,36,23,loam,1.39,1.1,2.72,89.76
84,7040,10,2,Dystric Gleysols,40,39,21,loam,1.4,1.3,1.17,45.63
85,7041,90,1,Humic Cambisols,41,36,23,loam,1.39,1.1,2.72,89.76
86,7041,10,2,Haplic Greyzems,25,54,21,silt loam,1.37,1.31,1.6,62.88
87,7042,90,1,Humic Cambisols,41,36,23,loam,1.39,1.1,2.72,89.76
88,7042,10,2,Gelic Gleysols,37,46,17,loam,1.43,1.44,3.14,135.648
89,7043,90,1,Humic Cambisols,41,36,23,loam,1.39,1.1,2.72,89.76
90,7043,10,2,Haplic Phaeozems,38,39,23,loam,1.38,1.3,1.95,76.05
91,7044,90,1,Humic Cambisols,41,36,23,loam,1.39,1.1,2.72,89.76
92,7044,10,2,Fibric Histosols,20,40,40,clay (light),1.26,0.1,33.63,100.89
93,7045,90,1,Humic Cambisols,41,36,23,loam,1.39,1.1,2.72,89.76
94,7045,10,2,Ferric Podzols,86,8,6,loamy sand,1.67,1.41,2.02,85.446
95,7046,90,1,Humic Cambisols,41,36,23,loam,1.39,1.1,2.72,89.76
96,7046,10,2,Ferric Podzols,86,8,6,loamy sand,1.67,1.41,2.02,85.446
97,7047,90,1,Humic Cambisols,41,36,23,loam,1.39,1.1,2.72,89.76
98,7047,10,2,Dystric Leptosols,76,14,10,sandy loam,1.58,1.47,0.65,28.665
99,7048,100,1,Humic Cambisols,41,36,23,loam,1.39,1.1,2.72,89.76
100,7049,90,1,Chromic Cambisols,21,29,50,clay (light),1.24,1.23,1.43,52.767
101,7049,10,2,Rock outcrops,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
102,7050,100,1,Chromic Cambisols,21,29,50,clay (light),1.24,1.23,1.43,52.767
103,7051,90,1,Calcaric Fluvisols,79,15,6,loamy sand,1.66,1.4,0.41,17.22
104,7051,10,2,Dystric Gleysols,40,39,21,loam,1.4,1.3,1.17,45.63
105,7052,90,1,Calcaric Fluvisols,79,15,6,loamy sand,1.66,1.4,0.41,17.22
106,7052,10,2,Eutric Fluvisols,80,12,8,loamy sand,1.62,1.27,0.58,22.098
107,7053,34,1,Dystric Fluvisols,79,12,9,sandy loam,1.6,1.39,0.87,36.279
108,7053,33,2,Gelic Gleysols,37,46,17,loam,1.43,1.44,3.14,135.648
109,7053,33,3,Gelic Regosols,26,63,11,silt loam,1.47,1.33,1.15,45.885
110,7054,90,1,Dystric Fluvisols,79,12,9,sandy loam,1.6,1.39,0.87,36.279
111,7054,10,2,Eutric Podzoluvisols,35,54,11,silt loam,1.49,1.36,1.2,48.96
112,7055,90,1,Dystric Fluvisols,79,12,9,sandy loam,1.6,1.39,0.87,36.279
113,7055,10,2,Dystric Gleysols,40,39,21,loam,1.4,1.3,1.17,45.63
114,7056,90,1,Dystric Fluvisols,79,12,9,sandy loam,1.6,1.39,0.87,36.279
115,7056,10,2,Dystric Fluvisols,79,12,9,sandy loam,1.6,1.39,0.87,36.279
116,7057,90,1,Dystric Fluvisols,79,12,9,sandy loam,1.6,1.39,0.87,36.279
117,7057,10,2,Eutric Fluvisols,80,12,8,loamy sand,1.62,1.27,0.58,22.098
118,7058,90,1,Dystric Fluvisols,79,12,9,sandy loam,1.6,1.39,0.87,36.279
119,7058,10,2,Fibric Histosols,20,40,40,clay (light),1.26,0.1,33.63,100.89
120,7059,90,1,Dystric Fluvisols,79,12,9,sandy loam,1.6,1.39,0.87,36.279
121,7059,10,2,Ferric Podzols,86,8,6,loamy sand,1.67,1.41,2.02,85.446
122,7060,90,1,Dystric Fluvisols,79,12,9,sandy loam,1.6,1.39,0.87,36.279
123,7060,5,2,Gelic Regosols,26,63,11,silt loam,1.47,1.33,1.15,45.885
124,7060,5,3,Gelic Regosols,26,63,11,silt loam,1.47,1.33,1.15,45.885
125,7061,100,1,Dystric Fluvisols,79,12,9,sandy loam,1.6,1.39,0.87,36.279
126,7062,80,1,Umbric Gleysols,38,42,20,loam,1.4,1.31,4.59,180.387
127,7062,10,2,Eutric Cambisols,23,29,48,clay (light),1.25,1.28,1.17,44.928
128,7062,10,3,Dystric Gleysols,40,39,21,loam,1.4,1.3,1.17,45.63
129,7063,80,1,Umbric Gleysols,38,42,20,loam,1.4,1.31,4.59,180.387
130,7063,10,2,Eutric Podzoluvisols,35,54,11,silt loam,1.49,1.36,1.2,48.96
131,7063,10,3,Gleyic Podzoluvisols,32,49,19,loam,1.4,1.35,2.22,89.91
132,7064,80,1,Umbric Gleysols,38,42,20,loam,1.4,1.31,4.59,180.387
133,7064,10,2,Dystric Gleysols,40,39,21,loam,1.4,1.3,1.17,45.63
134,7064,10,3,Fibric Histosols,20,40,40,clay (light),1.26,0.1,33.63,100.89
135,7065,90,1,Umbric Gleysols,38,42,20,loam,1.4,1.31,4.59,180.387
136,7065,10,2,Humic Cambisols,41,36,23,loam,1.39,1.1,2.72,89.76
137,7066,90,1,Umbric Gleysols,38,42,20,loam,1.4,1.31,4.59,180.387
138,7066,10,2,Gelic Histosols,18,61,21,silt loam,1.36,0.26,35.27,275.106
139,7067,90,1,Umbric Gleysols,38,42,20,loam,1.4,1.31,4.59,180.387
140,7067,10,2,Gelic Histosols,18,61,21,silt loam,1.36,0.26,35.27,275.106
141,7068,90,1,Umbric Gleysols,38,42,20,loam,1.4,1.31,4.59,180.387
142,7068,10,2,Eutric Podzoluvisols,35,54,11,silt loam,1.49,1.36,1.2,48.96
143,7069,90,1,Umbric Gleysols,38,42,20,loam,1.4,1.31,4.59,180.387
144,7069,10,2,Gleyic Podzoluvisols,32,49,19,loam,1.4,1.35,2.22,89.91
145,7070,90,1,Umbric Gleysols,38,42,20,loam,1.4,1.31,4.59,180.387
146,7070,10,2,Gleyic Podzoluvisols,32,49,19,loam,1.4,1.35,2.22,89.91
147,7071,90,1,Umbric Gleysols,38,42,20,loam,1.4,1.31,4.59,180.387
148,7071,10,2,Gelic Gleysols,37,46,17,loam,1.43,1.44,3.14,135.648
149,7072,100,1,Umbric Gleysols,38,42,20,loam,1.4,1.31,4.59,180.387
150,7073,34,1,Gelic Histosols,18,61,21,silt loam,1.36,0.26,35.27,275.106
151,7073,33,2,Gelic Gleysols,37,46,17,loam,1.43,1.44,3.14,135.648
152,7073,33,3,Gelic Regosols,26,63,11,silt loam,1.47,1.33,1.15,45.885
153,7074,60,1,Gelic Histosols,18,61,21,silt loam,1.36,0.26,35.27,275.106
154,7074,30,2,Water bodies,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
155,7074,10,3,Ferric Podzols,86,8,6,loamy sand,1.67,1.41,2.02,85.446
156,7075,66,1,Gelic Histosols,18,61,21,silt loam,1.36,0.26,35.27,275.106
157,7075,34,2,Water bodies,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
158,7076,70,1,Gelic Histosols,18,61,21,silt loam,1.36,0.26,35.27,275.106
159,7076,30,2,Water bodies,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
160,7077,70,1,Gelic Histosols,18,61,21,silt loam,1.36,0.26,35.27,275.106
161,7077,10,2,Rock outcrops,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
162,7077,10,3,Ferric Podzols,86,8,6,loamy sand,1.67,1.41,2.02,85.446
163,7077,10,4,Ferric Podzols,86,8,6,loamy sand,1.67,1.41,2.02,85.446
164,7078,80,1,Gelic Histosols,18,61,21,silt loam,1.36,0.26,35.27,275.106
165,7078,10,2,Vitric Andosols,74,21,5,sandy loam,1.68,0.99,3.27,97.119
166,7078,10,3,Dystric Fluvisols,79,12,9,sandy loam,1.6,1.39,0.87,36.279
167,7079,80,1,Gelic Histosols,18,61,21,silt loam,1.36,0.26,35.27,275.106
168,7079,10,2,Haplic Podzols,50,40,10,loam,1.53,1.41,5.27,222.921
169,7079,10,3,Ferric Podzols,86,8,6,loamy sand,1.67,1.41,2.02,85.446
170,7080,80,1,Gelic Histosols,18,61,21,silt loam,1.36,0.26,35.27,275.106
171,7080,10,2,Gleyic Podzoluvisols,32,49,19,loam,1.4,1.35,2.22,89.91
172,7080,10,3,Gleyic Podzoluvisols,32,49,19,loam,1.4,1.35,2.22,89.91
173,7081,80,1,Gelic Histosols,18,61,21,silt loam,1.36,0.26,35.27,275.106
174,7081,10,2,Dystric Gleysols,40,39,21,loam,1.4,1.3,1.17,45.63
175,7081,5,3,Gelic Gleysols,37,46,17,loam,1.43,1.44,3.14,135.648
176,7081,5,4,Gelic Regosols,26,63,11,silt loam,1.47,1.33,1.15,45.885
177,7082,80,1,Gelic Histosols,18,61,21,silt loam,1.36,0.26,35.27,275.106
178,7082,10,2,Dystric Gleysols,40,39,21,loam,1.4,1.3,1.17,45.63
179,7082,10,3,Ferric Podzols,86,8,6,loamy sand,1.67,1.41,2.02,85.446
180,7083,80,1,Gelic Histosols,18,61,21,silt loam,1.36,0.26,35.27,275.106
181,7083,10,2,Dystric Gleysols,40,39,21,loam,1.4,1.3,1.17,45.63
182,7083,10,3,Gelic Gleysols,37,46,17,loam,1.43,1.44,3.14,135.648
183,7084,80,1,Gelic Histosols,18,61,21,silt loam,1.36,0.26,35.27,275.106
184,7084,10,2,Ferric Podzols,86,8,6,loamy sand,1.67,1.41,2.02,85.446
185,7084,5,3,Dystric Gleysols,40,39,21,loam,1.4,1.3,1.17,45.63
186,7084,5,4,Gelic Gleysols,37,46,17,loam,1.43,1.44,3.14,135.648
187,7085,80,1,Gelic Histosols,18,61,21,silt loam,1.36,0.26,35.27,275.106
188,7085,10,2,Dystric Gleysols,40,39,21,loam,1.4,1.3,1.17,45.63
189,7085,10,3,Gelic Regosols,26,63,11,silt loam,1.47,1.33,1.15,45.885
190,7086,90,1,Gelic Histosols,18,61,21,silt loam,1.36,0.26,35.27,275.106
191,7086,10,2,Vitric Andosols,74,21,5,sandy loam,1.68,0.99,3.27,97.119
192,7087,90,1,Gelic Histosols,18,61,21,silt loam,1.36,0.26,35.27,275.106
193,7087,10,2,Dystric Fluvisols,79,12,9,sandy loam,1.6,1.39,0.87,36.279
194,7088,90,1,Gelic Histosols,18,61,21,silt loam,1.36,0.26,35.27,275.106
195,7088,10,2,Eutric Podzoluvisols,35,54,11,silt loam,1.49,1.36,1.2,48.96
196,7089,90,1,Gelic Histosols,18,61,21,silt loam,1.36,0.26,35.27,275.106
197,7089,10,2,Haplic Podzols,50,40,10,loam,1.53,1.41,5.27,222.921
198,7090,90,1,Gelic Histosols,18,61,21,silt loam,1.36,0.26,35.27,275.106
199,7090,10,2,Rock outcrops,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
200,7091,90,1,Gelic Histosols,18,61,21,silt loam,1.36,0.26,35.27,275.106
201,7091,10,2,Gleyic Cambisols,45,36,19,loam,1.42,1.41,1,42.3
202,7092,90,1,Gelic Histosols,18,61,21,silt loam,1.36,0.26,35.27,275.106
203,7092,10,2,Gleyic Podzoluvisols,32,49,19,loam,1.4,1.35,2.22,89.91
204,7093,90,1,Gelic Histosols,18,61,21,silt loam,1.36,0.26,35.27,275.106
205,7093,10,2,Gleyic Podzoluvisols,32,49,19,loam,1.4,1.35,2.22,89.91
206,7094,90,1,Gelic Histosols,18,61,21,silt loam,1.36,0.26,35.27,275.106
207,7094,10,2,Dystric Gleysols,40,39,21,loam,1.4,1.3,1.17,45.63
208,7095,90,1,Gelic Histosols,18,61,21,silt loam,1.36,0.26,35.27,275.106
209,7095,10,2,Dystric Gleysols,40,39,21,loam,1.4,1.3,1.17,45.63
210,7096,90,1,Gelic Histosols,18,61,21,silt loam,1.36,0.26,35.27,275.106
211,7096,10,2,Mollic Gleysols,39,39,22,loam,1.39,1.28,1.65,63.36
212,7097,90,1,Gelic Histosols,18,61,21,silt loam,1.36,0.26,35.27,275.106
213,7097,5,2,Dystric Gleysols,40,39,21,loam,1.4,1.3,1.17,45.63
214,7097,5,3,Gelic Gleysols,37,46,17,loam,1.43,1.44,3.14,135.648
215,7098,90,1,Gelic Histosols,18,61,21,silt loam,1.36,0.26,35.27,275.106
216,7098,5,2,Gelic Gleysols,37,46,17,loam,1.43,1.44,3.14,135.648
217,7098,5,3,Gelic Regosols,26,63,11,silt loam,1.47,1.33,1.15,45.885
218,7099,90,1,Gelic Histosols,18,61,21,silt loam,1.36,0.26,35.27,275.106
219,7099,10,2,Gelic Gleysols,37,46,17,loam,1.43,1.44,3.14,135.648
220,7100,90,1,Gelic Histosols,18,61,21,silt loam,1.36,0.26,35.27,275.106
221,7100,10,2,Dystric Fluvisols,79,12,9,sandy loam,1.6,1.39,0.87,36.279
222,7101,90,1,Gelic Histosols,18,61,21,silt loam,1.36,0.26,35.27,275.106
223,7101,10,2,Gleyic Podzols,86,10,4,loamy sand,1.73,1.31,1.97,77.421
224,7102,90,1,Gelic Histosols,18,61,21,silt loam,1.36,0.26,35.27,275.106
225,7102,10,2,Ferric Podzols,86,8,6,loamy sand,1.67,1.41,2.02,85.446
226,7103,90,1,Gelic Histosols,18,61,21,silt loam,1.36,0.26,35.27,275.106
227,7103,10,2,Ferric Podzols,86,8,6,loamy sand,1.67,1.41,2.02,85.446
228,7104,90,1,Gelic Histosols,18,61,21,silt loam,1.36,0.26,35.27,275.106
229,7104,10,2,Ferric Podzols,86,8,6,loamy sand,1.67,1.41,2.02,85.446
230,7105,90,1,Gelic Histosols,18,61,21,silt loam,1.36,0.26,35.27,275.106
231,7105,5,2,Gelic Gleysols,37,46,17,loam,1.43,1.44,3.14,135.648
232,7105,5,3,Gelic Regosols,26,63,11,silt loam,1.47,1.33,1.15,45.885
233,7106,90,1,Gelic Histosols,18,61,21,silt loam,1.36,0.26,35.27,275.106
234,7106,5,2,Gelic Regosols,26,63,11,silt loam,1.47,1.33,1.15,45.885
235,7106,5,3,Gelic Regosols,26,63,11,silt loam,1.47,1.33,1.15,45.885
236,7107,90,1,Gelic Histosols,18,61,21,silt loam,1.36,0.26,35.27,275.106
237,7107,5,2,Dystric Gleysols,40,39,21,loam,1.4,1.3,1.17,45.63
238,7107,5,3,Gelic Regosols,26,63,11,silt loam,1.47,1.33,1.15,45.885
239,7108,90,1,Gelic Histosols,18,61,21,silt loam,1.36,0.26,35.27,275.106
240,7108,10,2,Gelic Regosols,26,63,11,silt loam,1.47,1.33,1.15,45.885
241,7109,90,1,Gelic Histosols,18,61,21,silt loam,1.36,0.26,35.27,275.106
242,7109,10,2,Haplic Andosols,72,16,12,sandy loam,1.55,0.99,3.43,101.871
243,7110,90,1,Gelic Histosols,18,61,21,silt loam,1.36,0.26,35.27,275.106
244,7110,10,2,Dystric Planosols,42,38,20,loam,1.41,1.38,1.14,47.196
245,7111,100,1,Gelic Histosols,18,61,21,silt loam,1.36,0.26,35.27,275.106
246,7112,80,1,Gelic Histosols,18,61,21,silt loam,1.36,0.26,35.27,275.106
247,7112,10,2,Eutric Podzoluvisols,35,54,11,silt loam,1.49,1.36,1.2,48.96
248,7112,10,3,Ferric Podzols,86,8,6,loamy sand,1.67,1.41,2.02,85.446
249,7113,90,1,Gelic Histosols,18,61,21,silt loam,1.36,0.26,35.27,275.106
250,7113,10,2,Eutric Podzoluvisols,35,54,11,silt loam,1.49,1.36,1.2,48.96
251,7114,90,1,Gelic Histosols,18,61,21,silt loam,1.36,0.26,35.27,275.106
252,7114,10,2,Dystric Gleysols,40,39,21,loam,1.4,1.3,1.17,45.63
253,7115,90,1,Gelic Histosols,18,61,21,silt loam,1.36,0.26,35.27,275.106
254,7115,10,2,Gelic Gleysols,37,46,17,loam,1.43,1.44,3.14,135.648
255,7116,90,1,Gelic Histosols,18,61,21,silt loam,1.36,0.26,35.27,275.106
256,7116,10,2,Fibric Histosols,20,40,40,clay (light),1.26,0.1,33.63,100.89
257,7117,100,1,Gelic Histosols,18,61,21,silt loam,1.36,0.26,35.27,275.106
258,7118,90,1,Folic Histosols,37,24,39,clay (light),1.3,0.26,35.27,275.106
259,7118,10,2,Eutric Podzoluvisols,35,54,11,silt loam,1.49,1.36,1.2,48.96
260,7119,90,1,Folic Histosols,37,24,39,clay (light),1.3,0.26,35.27,275.106
261,7119,10,2,Mollic Gleysols,39,39,22,loam,1.39,1.28,1.65,63.36
262,7120,90,1,Folic Histosols,37,24,39,clay (light),1.3,0.26,35.27,275.106
263,7120,10,2,Fibric Histosols,20,40,40,clay (light),1.26,0.1,33.63,100.89
264,7121,90,1,Folic Histosols,37,24,39,clay (light),1.3,0.26,35.27,275.106
265,7121,10,2,Ferric Podzols,86,8,6,loamy sand,1.67,1.41,2.02,85.446
266,7122,100,1,Folic Histosols,37,24,39,clay (light),1.3,0.26,35.27,275.106
267,7123,90,1,Calcic Kastanozems,29,45,26,loam,1.35,1.32,1.42,56.232
268,7123,10,2,Luvic Kastanozems,8,54,38,silty clay loam,1.25,1.3,1.68,65.52
269,7124,100,1,Calcic Kastanozems,29,45,26,loam,1.35,1.32,1.42,56.232
270,7125,80,1,Dystric Leptosols,76,14,10,sandy loam,1.58,1.47,0.65,28.665
271,7125,10,2,Rock outcrops,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
272,7125,10,3,Haplic Chernozems,23,54,23,silt loam,1.35,1.22,2.09,76.494
273,7126,80,1,Dystric Leptosols,76,14,10,sandy loam,1.58,1.47,0.65,28.665
274,7126,10,2,Haplic Greyzems,25,54,21,silt loam,1.37,1.31,1.6,62.88
275,7126,10,3,Luvic Phaeozems,35,40,25,loam,1.36,1.29,1.68,65.016
276,7127,90,1,Dystric Leptosols,76,14,10,sandy loam,1.58,1.47,0.65,28.665
277,7127,10,2,Rock outcrops,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
278,7128,90,1,Dystric Leptosols,76,14,10,sandy loam,1.58,1.47,0.65,28.665
279,7128,10,2,Haplic Greyzems,25,54,21,silt loam,1.37,1.31,1.6,62.88
280,7129,100,1,Dystric Leptosols,76,14,10,sandy loam,1.58,1.47,0.65,28.665
281,7130,70,1,Eutric Podzoluvisols,35,54,11,silt loam,1.49,1.36,1.2,48.96
282,7130,20,2,Gelic Histosols,18,61,21,silt loam,1.36,0.26,35.27,275.106
283,7130,10,3,Stagnic Podzoluvisols,24,58,18,silt loam,1.39,1.35,1.5,60.75
284,7131,80,1,Eutric Podzoluvisols,35,54,11,silt loam,1.49,1.36,1.2,48.96
285,7131,10,2,Gelic Histosols,18,61,21,silt loam,1.36,0.26,35.27,275.106
286,7131,10,3,Rendzic Leptosols,76,16,8,sandy loam,1.61,1.45,1.93,83.955
287,7132,80,1,Eutric Podzoluvisols,35,54,11,silt loam,1.49,1.36,1.2,48.96
288,7132,10,2,Gelic Histosols,18,61,21,silt loam,1.36,0.26,35.27,275.106
289,7132,10,3,Ferric Podzols,86,8,6,loamy sand,1.67,1.41,2.02,85.446
290,7133,80,1,Eutric Podzoluvisols,35,54,11,silt loam,1.49,1.36,1.2,48.96
291,7133,10,2,Gelic Histosols,18,61,21,silt loam,1.36,0.26,35.27,275.106
292,7133,10,3,Ferric Podzols,86,8,6,loamy sand,1.67,1.41,2.02,85.446
293,7134,80,1,Eutric Podzoluvisols,35,54,11,silt loam,1.49,1.36,1.2,48.96
294,7134,10,2,Gelic Histosols,18,61,21,silt loam,1.36,0.26,35.27,275.106
295,7134,10,3,Eutric Podzoluvisols,35,54,11,silt loam,1.49,1.36,1.2,48.96
296,7135,80,1,Eutric Podzoluvisols,35,54,11,silt loam,1.49,1.36,1.2,48.96
297,7135,10,2,Eutric Podzoluvisols,35,54,11,silt loam,1.49,1.36,1.2,48.96
298,7135,10,3,Gelic Gleysols,37,46,17,loam,1.43,1.44,3.14,135.648
299,7136,80,1,Eutric Podzoluvisols,35,54,11,silt loam,1.49,1.36,1.2,48.96
300,7136,10,2,Eutric Podzoluvisols,35,54,11,silt loam,1.49,1.36,1.2,48.96
301,7136,10,3,Fibric Histosols,20,40,40,clay (light),1.26,0.1,33.63,100.89
302,7137,80,1,Eutric Podzoluvisols,35,54,11,silt loam,1.49,1.36,1.2,48.96
303,7137,10,2,Gleyic Podzoluvisols,32,49,19,loam,1.4,1.35,2.22,89.91
304,7137,10,3,Gleyic Podzoluvisols,32,49,19,loam,1.4,1.35,2.22,89.91
305,7138,80,1,Eutric Podzoluvisols,35,54,11,silt loam,1.49,1.36,1.2,48.96
306,7138,10,2,Gelic Histosols,18,61,21,silt loam,1.36,0.26,35.27,275.106
