id,mu_global,share,seq,FAO90,sand,silt,clay,usda_tex,ref_bd,bd,C,SOC
12953,12061,10,3,Xanthic Ferralsols,83,2,15,sandy loam,1.53,1.45,0.92,40.02
12954,12061,10,4,Gleyic Alisols,87,5,8,loamy sand,1.63,1.37,0.83,34.113
12955,12062,70,1,Humic Ferralsols,37,13,50,clay (light),1.26,0.99,3.94,117.018
12956,12062,15,2,Xanthic Ferralsols,35,15,50,clay (light),1.26,1.21,1.66,60.258
12957,12062,15,3,Haplic Alisols,57,11,32,sandy clay loam,1.37,1.22,0.64,23.424
12958,12063,60,1,Humic Ferralsols,37,13,50,clay (light),1.26,0.99,3.94,117.018
12959,12063,20,2,Ferralic Arenosols,87,2,11,loamy sand,1.58,1.52,0.74,33.744
12960,12063,20,3,Haplic Ferralsols,49,10,41,sandy clay,1.31,1.45,1.99,86.565
12961,12064,30,1,Humic Ferralsols,37,13,50,clay (light),1.26,0.99,3.94,117.018
12962,12064,30,2,Haplic Nitisols,43,19,38,clay loam,1.31,1.24,0.81,30.132
12963,12064,20,3,Rhodic Ferralsols,37,4,59,clay (light),1.24,1.19,0.98,34.986
12964,12064,20,4,Haplic Alisols,65,12,23,sandy clay loam,1.43,1.23,1.53,56.457
12965,12065,90,1,Eutric Fluvisols,44,33,23,loam,1.39,1.33,0.73,29.127
