carbon_above,nitrogen_above,DMon_above,DMoff_above,carbon_below,nitrogen_below,DMon_below,DMoff_below
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.51160,0.02684,3.02320,0.00000,0.77074,0.01679,1.54149,0.00000
0.29836,0.00250,0.59673,0.00000,0.23554,0.00464,0.47108,0.00000
0.33420,0.00313,0.66839,0.00000,0.14483,0.00255,0.28967,0.00000
0.34606,0.00327,0.69212,0.00000,0.13442,0.00226,0.26884,0.00000
0.35942,0.00343,0.71884,0.00000,0.13874,0.00231,0.27749,0.00000
0.37378,0.00360,0.74755,0.00000,0.14602,0.00242,0.29204,0.00000
0.39515,0.00389,0.79030,0.00000,0.25543,0.00295,0.51086,0.00000
0.38994,0.00381,0.77987,0.00000,0.15651,0.00257,0.31302,0.00000
0.40664,0.00399,0.81329,0.00000,0.16510,0.00271,0.33020,0.00000
0.43102,0.00432,0.86203,0.00000,0.29099,0.00331,0.58197,0.00000
0.42593,0.00422,0.85185,0.00000,0.17637,0.00287,0.35275,0.00000
0.44469,0.00442,0.88938,0.00000,0.18563,0.00302,0.37127,0.00000
0.46430,0.00462,0.92861,0.00000,0.19521,0.00316,0.39042,0.00000
0.48474,0.00483,0.96947,0.00000,0.20509,0.00331,0.41018,0.00000
0.52020,0.00534,1.04041,0.00000,0.47712,0.00449,0.95425,0.00000
0.49246,0.00492,0.98491,0.00000,0.21062,0.00338,0.42123,0.00000
0.51349,0.00513,1.02699,0.00000,0.22055,0.00353,0.44109,0.00000
0.53508,0.00534,1.07017,0.00000,0.23067,0.00368,0.46133,0.00000
0.55714,0.00556,1.11427,0.00000,0.24094,0.00383,0.48188,0.00000
0.57956,0.00577,1.15912,0.00000,0.25133,0.00398,0.50266,0.00000
0.60225,0.00599,1.20451,0.00000,0.26179,0.00413,0.52357,0.00000
0.62510,0.00620,1.25021,0.00000,0.27227,0.00428,0.54453,0.00000
0.64799,0.00641,1.29598,0.00000,0.28271,0.00442,0.56542,0.00000
0.67077,0.00661,1.34154,0.00000,0.29307,0.00456,0.58613,0.00000
0.69331,0.00680,1.38662,0.00000,0.30327,0.00470,0.60653,0.00000
0.71545,0.00699,1.43091,0.00000,0.31325,0.00483,0.62649,0.00000
0.73704,0.00717,1.47407,0.00000,0.32294,0.00495,0.64588,0.00000
0.75790,0.00733,1.51580,0.00000,0.33228,0.00506,0.66456,0.00000
0.77787,0.00748,1.55574,0.00000,0.34119,0.00516,0.68239,0.00000
0.79678,0.00761,1.59356,0.00000,0.34961,0.00525,0.69923,0.00000
0.81447,0.00773,1.62893,0.00000,0.35747,0.00533,0.71495,0.00000
0.83076,0.00783,1.66153,0.00000,0.36471,0.00539,0.72943,0.00000
0.84552,0.00791,1.69105,0.00000,0.37127,0.00544,0.74254,0.00000
0.85860,0.00796,1.71720,0.00000,0.37710,0.00548,0.75420,0.00000
0.99108,0.01042,1.98215,0.00000,3.61354,0.01726,7.22709,0.00000
0.53998,0.00489,1.07996,0.00000,0.23736,0.00335,0.47471,0.00000
0.54330,0.00487,1.08661,0.00000,0.23892,0.00334,0.47784,0.00000
0.54568,0.00484,1.09135,0.00000,0.24011,0.00331,0.48021,0.00000
0.54674,0.00480,1.09348,0.00000,0.24080,0.00328,0.48160,0.00000
0.54650,0.00474,1.09301,0.00000,0.24099,0.00324,0.48199,0.00000
0.54498,0.00467,1.08996,0.00000,0.24069,0.00319,0.48138,0.00000
0.54219,0.00459,1.08438,0.00000,0.23991,0.00313,0.47981,0.00000
0.53818,0.00450,1.07636,0.00000,0.23867,0.00306,0.47735,0.00000
0.53300,0.00440,1.06601,0.00000,0.23702,0.00299,0.47404,0.00000
0.52672,0.00429,1.05344,0.00000,0.23498,0.00291,0.46996,0.00000
0.51941,0.00418,1.03881,0.00000,0.23258,0.00283,0.46517,0.00000
0.51114,0.00406,1.02228,0.00000,0.22987,0.00274,0.45974,0.00000
0.50201,0.00393,1.00402,0.00000,0.22688,0.00266,0.45377,0.00000
0.49210,0.00380,0.98420,0.00000,0.22366,0.00256,0.44731,0.00000
