year,leaf,branch,stem,croot,froot,total
0.00000,1.28647,3.98806,8.87664,2.30793,1.28647,17.74556
1.00000,0.09271,4.07604,9.51632,2.47424,0.35000,16.50931
2.00000,0.12287,4.17737,10.18659,2.64851,0.18772,17.32306
3.00000,0.12888,4.29209,10.88907,2.83116,0.16513,18.30632
4.00000,0.13569,4.42028,11.62535,3.02259,0.16799,19.37192
5.00000,0.14282,4.56202,12.39703,3.22323,0.17577,20.50086
6.00000,0.15026,4.71735,13.20562,3.43346,0.18476,21.69146
7.00000,0.15202,4.69764,13.52440,3.51634,0.18690,22.07729
8.00000,0.15977,4.87352,14.37732,3.73810,0.19645,23.34518
9.00000,0.16782,5.06253,15.26979,3.97015,0.20638,24.67666
10.00000,0.16943,5.06211,15.59217,4.05396,0.20840,25.08606
11.00000,0.17768,5.26908,16.52971,4.29772,0.21858,26.49277
12.00000,0.18616,5.48836,17.50816,4.55212,0.22906,27.96386
13.00000,0.19485,5.71976,18.52816,4.81732,0.23981,29.49990
14.00000,0.20372,5.96299,19.59015,5.09344,0.25078,31.10108
15.00000,0.19847,5.80027,19.32300,5.02398,0.24439,30.59012
16.00000,0.20695,6.04810,20.39189,5.30189,0.25491,32.20374
17.00000,0.21549,6.30560,21.49952,5.58988,0.26552,33.87601
18.00000,0.22405,6.57212,22.64521,5.88775,0.27615,35.60529
19.00000,0.23256,6.84691,23.82791,6.19526,0.28675,37.38938
20.00000,0.24098,7.12908,25.04620,6.51201,0.29725,39.22551
21.00000,0.24924,7.41762,26.29827,6.83755,0.30756,41.11024
22.00000,0.25727,7.71139,27.58189,7.17129,0.31762,43.03946
23.00000,0.26502,8.00909,28.89437,7.51254,0.32733,45.00836
24.00000,0.27240,8.30932,30.23260,7.86048,0.33662,47.01141
25.00000,0.27934,8.61051,31.59299,8.21418,0.34538,49.04240
26.00000,0.28577,8.91099,32.97151,8.57259,0.35353,51.09440
27.00000,0.29162,9.20896,34.36369,8.93456,0.36097,53.15979
28.00000,0.29681,9.50251,35.76463,9.29880,0.36761,55.23037
29.00000,0.30127,9.78968,37.16906,9.66396,0.37338,57.29735
30.00000,0.30495,10.06841,38.57138,10.02856,0.37818,59.35148
31.00000,0.30778,10.33664,39.96570,10.39108,0.38195,61.38314
32.00000,0.30971,10.59227,41.34589,10.74993,0.38462,63.38243
33.00000,0.31072,10.83326,42.70571,11.10348,0.38615,65.33933
34.00000,0.31078,11.05761,44.03884,11.45010,0.38650,67.24383
35.00000,0.18866,6.95095,28.16385,7.32260,0.23491,42.86098
36.00000,0.18681,7.05519,28.91559,7.51805,0.23287,43.90851
37.00000,0.18471,7.14550,29.63754,7.70576,0.23036,44.90386
38.00000,0.18204,7.22110,30.32638,7.88486,0.22720,45.84159
39.00000,0.17886,7.28137,30.97909,8.05456,0.22339,46.71728
40.00000,0.17518,7.32583,31.59295,8.21417,0.21897,47.52710
41.00000,0.17106,7.35417,32.16558,8.36305,0.21398,48.26784
42.00000,0.16654,7.36625,32.69499,8.50070,0.20848,48.93695
43.00000,0.16167,7.36210,33.17956,8.62669,0.20252,49.53253
44.00000,0.15650,7.34191,33.61810,8.74071,0.19618,50.05340
45.00000,0.15108,7.30604,34.00981,8.84255,0.18953,50.49900
46.00000,0.14548,7.25498,34.35429,8.93211,0.18262,50.86948
47.00000,0.13975,7.18936,34.65152,9.00940,0.17553,51.16555
48.00000,0.13393,7.10994,34.90186,9.07448,0.16831,51.38852
49.00000,0.12807,7.01756,35.10598,9.12755,0.16104,51.54020
50.00000,0.12222,6.91315,35.26485,9.16886,0.15377,51.62286
