carbon_above,nitrogen_above,DMon_above,DMoff_above,carbon_below,nitrogen_below,DMon_below,DMoff_below
0.65720,0.00986,1.64300,0.00000,0.14433,0.00325,0.36082,0.00000
0.65720,0.00986,1.64300,0.00000,0.14433,0.00325,0.36082,0.00000
0.65720,0.00986,1.64300,0.00000,0.14433,0.00325,0.36082,0.00000
0.65720,0.00986,1.64300,0.00000,0.14433,0.00325,0.36082,0.00000
0.65720,0.00986,1.64300,0.00000,0.14433,0.00325,0.36082,0.00000
0.65720,0.00986,1.64300,0.00000,0.14433,0.00325,0.36082,0.00000
0.65720,0.00986,1.64300,0.00000,0.14433,0.00325,0.36082,0.00000
0.65720,0.00986,1.64300,0.00000,0.14433,0.00325,0.36082,0.00000
0.65720,0.00986,1.64300,0.00000,0.14433,0.00325,0.36082,0.00000
0.65720,0.00986,1.64300,0.00000,0.14433,0.00325,0.36082,0.00000
0.65720,0.00986,1.64300,0.00000,0.14433,0.00325,0.36082,0.00000
0.65720,0.00986,1.64300,0.00000,0.14433,0.00325,0.36082,0.00000
0.65720,0.00986,1.64300,0.00000,0.14433,0.00325,0.36082,0.00000
0.65720,0.00986,1.64300,0.00000,0.14433,0.00325,0.36082,0.00000
0.65720,0.00986,1.64300,0.00000,0.14433,0.00325,0.36082,0.00000
0.65720,0.00986,1.64300,0.00000,0.14433,0.00325,0.36082,0.00000
0.65720,0.00986,1.64300,0.00000,0.14433,0.00325,0.36082,0.00000
0.65720,0.00986,1.64300,0.00000,0.14433,0.00325,0.36082,0.00000
0.65720,0.00986,1.64300,0.00000,0.14433,0.00325,0.36082,0.00000
0.65720,0.00986,1.64300,0.00000,0.14433,0.00325,0.36082,0.00000
0.65720,0.00986,1.64300,0.00000,0.14433,0.00325,0.36082,0.00000
0.65720,0.00986,1.64300,0.00000,0.14433,0.00325,0.36082,0.00000
0.65720,0.00986,1.64300,0.00000,0.14433,0.00325,0.36082,0.00000
0.65720,0.00986,1.64300,0.00000,0.14433,0.00325,0.36082,0.00000
0.65720,0.00986,1.64300,0.00000,0.14433,0.00325,0.36082,0.00000
0.65720,0.00986,1.64300,0.00000,0.14433,0.00325,0.36082,0.00000
0.65720,0.00986,1.64300,0.00000,0.14433,0.00325,0.36082,0.00000
0.65720,0.00986,1.64300,0.00000,0.14433,0.00325,0.36082,0.00000
0.65720,0.00986,1.64300,0.00000,0.14433,0.00325,0.36082,0.00000
0.65720,0.00986,1.64300,0.00000,0.14433,0.00325,0.36082,0.00000
0.65720,0.00986,1.64300,0.00000,0.14433,0.00325,0.36082,0.00000
0.65720,0.00986,1.64300,0.00000,0.14433,0.00325,0.36082,0.00000
0.65720,0.00986,1.64300,0.00000,0.14433,0.00325,0.36082,0.00000
0.65720,0.00986,1.64300,0.00000,0.14433,0.00325,0.36082,0.00000
0.65720,0.00986,1.64300,0.00000,0.14433,0.00325,0.36082,0.00000
0.65720,0.00986,1.64300,0.00000,0.14433,0.00325,0.36082,0.00000
0.65720,0.00986,1.64300,0.00000,0.14433,0.00325,0.36082,0.00000
0.65720,0.00986,1.64300,0.00000,0.14433,0.00325,0.36082,0.00000
0.65720,0.00986,1.64300,0.00000,0.14433,0.00325,0.36082,0.00000
0.65720,0.00986,1.64300,0.00000,0.14433,0.00325,0.36082,0.00000
0.65720,0.00986,1.64300,0.00000,0.14433,0.00325,0.36082,0.00000
0.65720,0.00986,1.64300,0.00000,0.14433,0.00325,0.36082,0.00000
0.65720,0.00986,1.64300,0.00000,0.14433,0.00325,0.36082,0.00000
0.65720,0.00986,1.64300,0.00000,0.14433,0.00325,0.36082,0.00000
0.65720,0.00986,1.64300,0.00000,0.14433,0.00325,0.36082,0.00000
0.65720,0.00986,1.64300,0.00000,0.14433,0.00325,0.36082,0.00000
0.65720,0.00986,1.64300,0.00000,0.14433,0.00325,0.36082,0.00000
0.65720,0.00986,1.64300,0.00000,0.14433,0.00325,0.36082,0.00000
0.65720,0.00986,1.64300,0.00000,0.14433,0.00325,0.36082,0.00000
0.65720,0.00986,1.64300,0.00000,0.14433,0.00325,0.36082,0.00000
