temp,rain,evap
21.58400,57.02200,126.64533
22.01400,61.52400,121.33333
22.04000,103.20200,124.57867
21.90600,110.47800,113.36000
21.68600,88.06200,113.83200
21.25200,58.65000,120.56000
21.03800,37.79800,125.90133
21.46400,81.08600,126.72800
21.44800,111.56400,132.08000
21.21800,116.86800,127.14133
21.43200,117.04400,115.28000
21.45200,79.41200,118.62667
