emit_base,emit_proj,emit_diff,soil_base,soil_proj,soil_diff,tree_base,tree_proj,tree_diff,fire_base,fire_proj,fire_diff,lit_base,lit_proj,lit_diff,fert_base,fert_proj,fert_diff,crop_base,crop_proj,crop_diff
3.7408131973129817,16.813314280514774,13.072501083201793,3.486308217541553,4.1804647765686198,0.69415655902706686,0.0,12.410523807574727,12.410523807574727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25450497977142855,0.22232569637142857,-0.032179283399999981
3.1380954246487991,-15.86234114386968,-19.000436568518477,2.8835904448773704,-11.550659265312147,-14.434249710189517,0.0,-4.5340075749289612,-4.5340075749289612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25450497977142855,0.22232569637142857,-0.032179283399999981
2.7489708988628325,-3.4219924144606493,-6.1709633133234814,2.4944659190914038,4.2068533836241544,1.7123874645327506,0.0,-7.8511714944562323,-7.8511714944562323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25450497977142855,0.22232569637142857,-0.032179283399999981
2.4911156126998253,-4.8216414061028976,-7.3127570188027224,2.2366106329283966,3.4875705715935235,1.2509599386651269,0.0,-8.5315376740678488,-8.5315376740678488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25450497977142855,0.22232569637142857,-0.032179283399999981
2.3138823471040038,-6.0745084571800296,-8.3883908042840325,2.059377367332575,2.743498268618489,0.68412090128591396,0.0,-9.0403324221699464,-9.0403324221699464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25450497977142855,0.22232569637142857,-0.032179283399999981
2.1862800735508645,-4.3354349490703257,-6.5217150226211906,1.931775093779436,5.0989500297929951,3.1671749360135593,0.0,-9.5246119225776056,-9.5246119225776056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25450497977142855,0.090226943714285704,-0.16427803605714286
2.0894020022186086,1.5710088310242336,-0.518393171194375,1.8348970224471801,3.7127933464296934,1.8778963239825133,0.0,-2.2320114591197457,-2.2320114591197457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25450497977142855,0.090226943714285704,-0.16427803605714286
2.011730474266344,-7.7876920203607707,-9.7994224946271142,1.7572254944949155,2.2202682360272519,0.46304274153233638,0.0,-10.098187200102307,-10.098187200102307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25450497977142855,0.090226943714285704,-0.16427803605714286
1.9462522434568379,-7.7311511575963445,-9.6774034010531818,1.6917472636854094,2.793149079192415,1.1014018155070056,0.0,-10.614527180503044,-10.614527180503044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25450497977142855,0.090226943714285704,-0.16427803605714286
1.8886946794214485,0.009896358705824615,-1.878798320715624,1.63418969965002,2.3190592826649707,0.68486958301495071,0.0,-2.399389867673432,-2.399389867673432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25450497977142855,0.090226943714285704,-0.16427803605714286
1.8364498885643437,-9.893545533402424,-11.729995421966768,1.5819449087929152,1.1836493160104826,-0.39829559278243254,0.0,-11.167421793127192,-11.167421793127192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25450497977142855,0.090226943714285704,-0.16427803605714286
1.7879214100298981,-9.4358561443602227,-11.223777554390121,1.5334164302584696,2.1638196505660225,0.63040322030755291,0.0,-11.68990273864053,-11.68990273864053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25450497977142855,0.090226943714285704,-0.16427803605714286
1.7421268093421678,-10.263764283258951,-12.005891092601118,1.4876218295707393,1.8401829016070881,0.35256107203634879,0.0,-12.194174128580324,-12.194174128580324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25450497977142855,0.090226943714285704,-0.16427803605714286
1.6984566997901038,-10.999943607481658,-12.698400307271761,1.4439517200186753,1.6095316438564744,0.16557992383779907,0.0,-12.699702195052417,-12.699702195052417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25450497977142855,0.090226943714285704,-0.16427803605714286
1.656528036938459,7.1489089643882586,5.4923809274497994,1.4020230571670305,1.4313644583203935,0.029341401153363034,0.0,5.6273175623535794,5.6273175623535794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25450497977142855,0.090226943714285704,-0.16427803605714286
1.6160958335008873,-13.121340546540001,-14.737436380040888,1.3615908537294588,-0.47899432464881286,-1.8405851783782716,0.0,-12.732573165605473,-12.732573165605473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25450497977142855,0.090226943714285704,-0.16427803605714286
1.5769988650064144,-11.110977663401645,-12.687976528408059,1.3224938852349859,2.0298411006775883,0.70734721544260237,0.0,-13.231045707793518,-13.231045707793518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25450497977142855,0.090226943714285704,-0.16427803605714286
1.5391271561618862,-11.965350477565796,-13.504477633727682,1.2846221763904577,1.6172821223243403,0.33265994593388259,0.0,-13.672859543604421,-13.672859543604421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25450497977142855,0.090226943714285704,-0.16427803605714286
1.5024022287919927,-12.66632299302576,-14.168725221817754,1.2478972490205642,1.3411771864446838,0.093279937424119552,0.0,-14.097727123184729,-14.097727123184729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25450497977142855,0.090226943714285704,-0.16427803605714286
