carbon_above,nitrogen_above,DMon_above,DMoff_above,carbon_below,nitrogen_below,DMon_below,DMoff_below
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.63863,0.02910,3.27725,0.00000,0.83551,0.01820,1.67103,0.00000
0.32344,0.00271,0.64687,0.00000,0.25533,0.00503,0.51067,0.00000
0.36228,0.00340,0.72456,0.00000,0.15700,0.00276,0.31401,0.00000
0.37514,0.00355,0.75028,0.00000,0.14571,0.00245,0.29143,0.00000
0.38962,0.00372,0.77925,0.00000,0.15040,0.00250,0.30081,0.00000
0.40519,0.00390,0.81037,0.00000,0.15829,0.00262,0.31658,0.00000
0.42835,0.00422,0.85671,0.00000,0.27690,0.00319,0.55379,0.00000
0.42271,0.00413,0.84541,0.00000,0.16966,0.00279,0.33932,0.00000
0.44082,0.00433,0.88163,0.00000,0.17897,0.00293,0.35794,0.00000
0.46724,0.00468,0.93447,0.00000,0.31544,0.00359,0.63088,0.00000
0.46172,0.00457,0.92344,0.00000,0.19120,0.00312,0.38239,0.00000
0.48206,0.00479,0.96411,0.00000,0.20123,0.00327,0.40247,0.00000
0.50332,0.00501,1.00664,0.00000,0.21162,0.00343,0.42323,0.00000
0.52547,0.00524,1.05094,0.00000,0.22233,0.00359,0.44465,0.00000
0.56392,0.00578,1.12784,0.00000,0.51722,0.00487,1.03444,0.00000
0.53384,0.00533,1.06768,0.00000,0.22832,0.00367,0.45663,0.00000
0.55665,0.00556,1.11329,0.00000,0.23908,0.00383,0.47816,0.00000
0.58005,0.00579,1.16010,0.00000,0.25005,0.00399,0.50010,0.00000
0.60395,0.00602,1.20791,0.00000,0.26119,0.00415,0.52237,0.00000
0.62826,0.00626,1.25652,0.00000,0.27245,0.00431,0.54490,0.00000
0.65286,0.00649,1.30572,0.00000,0.28379,0.00448,0.56757,0.00000
0.67763,0.00672,1.35527,0.00000,0.29515,0.00464,0.59029,0.00000
0.70244,0.00694,1.40488,0.00000,0.30647,0.00479,0.61294,0.00000
0.72714,0.00716,1.45428,0.00000,0.31769,0.00495,0.63539,0.00000
0.75157,0.00738,1.50315,0.00000,0.32875,0.00509,0.65750,0.00000
0.77558,0.00758,1.55115,0.00000,0.33957,0.00523,0.67914,0.00000
0.79897,0.00777,1.59795,0.00000,0.35008,0.00536,0.70016,0.00000
0.82159,0.00795,1.64318,0.00000,0.36020,0.00548,0.72041,0.00000
0.84324,0.00811,1.68647,0.00000,0.36987,0.00559,0.73973,0.00000
0.86374,0.00825,1.72747,0.00000,0.37899,0.00569,0.75799,0.00000
0.88291,0.00838,1.76582,0.00000,0.38751,0.00577,0.77503,0.00000
0.90058,0.00849,1.80115,0.00000,0.39536,0.00584,0.79072,0.00000
0.91658,0.00857,1.83315,0.00000,0.40247,0.00590,0.80494,0.00000
0.93075,0.00863,1.86151,0.00000,0.40879,0.00594,0.81758,0.00000
1.07436,0.01130,2.14872,0.00000,3.91720,0.01871,7.83440,0.00000
0.58536,0.00530,1.17071,0.00000,0.25730,0.00364,0.51460,0.00000
0.58896,0.00528,1.17792,0.00000,0.25900,0.00362,0.51799,0.00000
0.59153,0.00525,1.18306,0.00000,0.26028,0.00359,0.52057,0.00000
0.59268,0.00520,1.18537,0.00000,0.26104,0.00355,0.52208,0.00000
0.59243,0.00514,1.18486,0.00000,0.26124,0.00351,0.52249,0.00000
0.59077,0.00507,1.18155,0.00000,0.26091,0.00345,0.52183,0.00000
0.58775,0.00498,1.17550,0.00000,0.26007,0.00339,0.52013,0.00000
0.58341,0.00488,1.16681,0.00000,0.25873,0.00332,0.51746,0.00000
0.57779,0.00477,1.15559,0.00000,0.25694,0.00324,0.51388,0.00000
0.57098,0.00465,1.14197,0.00000,0.25472,0.00316,0.50945,0.00000
0.56305,0.00453,1.12611,0.00000,0.25213,0.00307,0.50426,0.00000
0.55409,0.00440,1.10819,0.00000,0.24919,0.00297,0.49838,0.00000
0.54419,0.00426,1.08839,0.00000,0.24595,0.00288,0.49190,0.00000
0.53345,0.00412,1.06691,0.00000,0.24245,0.00278,0.48490,0.00000
