year,leaf,branch,stem,croot,froot,total
0.00000,0.54312,1.68368,3.74754,1.49901,0.54312,8.01647
1.00000,0.01717,1.65273,3.86604,1.54642,0.12580,7.20817
2.00000,0.02811,1.62525,3.98505,1.59402,0.05110,7.28352
3.00000,0.02832,1.60103,4.10466,1.64187,0.03808,7.41397
4.00000,0.02877,1.57990,4.22499,1.69000,0.03619,7.55986
5.00000,0.02923,1.56170,4.34614,1.73845,0.03632,7.71183
6.00000,0.02970,1.54626,4.46818,1.78727,0.03682,7.86823
7.00000,0.02900,1.47159,4.41248,1.76499,0.03594,7.71400
8.00000,0.02948,1.46177,4.53165,1.81266,0.03653,7.87210
9.00000,0.02998,1.45420,4.65192,1.86077,0.03714,8.03401
10.00000,0.02928,1.39059,4.58727,1.83491,0.03628,7.87834
11.00000,0.02978,1.38739,4.70507,1.88203,0.03690,8.04117
12.00000,0.03029,1.38602,4.82408,1.92963,0.03753,8.20756
13.00000,0.03081,1.38639,4.94437,1.97775,0.03817,8.37749
14.00000,0.03134,1.38840,5.06597,2.02639,0.03883,8.55093
15.00000,0.02968,1.29479,4.83430,1.93372,0.03677,8.12927
16.00000,0.03019,1.29958,4.95003,1.98001,0.03740,8.29721
17.00000,0.03071,1.30567,5.06706,2.02682,0.03804,8.46830
18.00000,0.03123,1.31298,5.18542,2.07417,0.03869,8.64248
19.00000,0.03175,1.32144,5.30512,2.12205,0.03934,8.81971
20.00000,0.03229,1.33100,5.42617,2.17047,0.04000,8.99993
21.00000,0.03282,1.34158,5.54858,2.21943,0.04067,9.18308
22.00000,0.03336,1.35313,5.67234,2.26894,0.04134,9.36910
23.00000,0.03391,1.36558,5.79745,2.31898,0.04201,9.55793
24.00000,0.03445,1.37889,5.92389,2.36955,0.04269,9.74947
25.00000,0.03500,1.39300,6.05164,2.42066,0.04337,9.94366
26.00000,0.03554,1.40784,6.18069,2.47228,0.04405,10.14041
27.00000,0.03609,1.42338,6.31100,2.52440,0.04473,10.33960
28.00000,0.03663,1.43955,6.44254,2.57702,0.04541,10.54115
29.00000,0.03718,1.45630,6.57527,2.63011,0.04608,10.74494
30.00000,0.03772,1.47358,6.70914,2.68365,0.04675,10.95084
31.00000,0.03825,1.49135,6.84409,2.73763,0.04742,11.15874
32.00000,0.03878,1.50954,6.98006,2.79202,0.04808,11.36849
33.00000,0.03930,1.52811,7.11700,2.84680,0.04873,11.57994
34.00000,0.03982,1.54701,7.25481,2.90192,0.04937,11.79294
35.00000,0.02479,0.96285,4.56406,1.82562,0.03075,7.40807
36.00000,0.02509,0.97476,4.64929,1.85972,0.03112,7.53997
37.00000,0.02538,0.98675,4.73487,1.89395,0.03148,7.67242
38.00000,0.02566,0.99879,4.82072,1.92829,0.03183,7.80529
39.00000,0.02593,1.01086,4.90678,1.96271,0.03218,7.93845
40.00000,0.02620,1.02291,4.99297,1.99719,0.03251,8.07177
41.00000,0.02645,1.03492,5.07922,2.03169,0.03282,8.20510
42.00000,0.02669,1.04686,5.16544,2.06618,0.03313,8.33830
43.00000,0.02692,1.05868,5.25156,2.10063,0.03342,8.47120
44.00000,0.02714,1.07036,5.33748,2.13499,0.03369,8.60366
45.00000,0.02734,1.08187,5.42311,2.16924,0.03394,8.73550
46.00000,0.02753,1.09316,5.50835,2.20334,0.03418,8.86656
47.00000,0.02770,1.10421,5.59310,2.23724,0.03440,8.99666
48.00000,0.02786,1.11499,5.67726,2.27091,0.03460,9.12561
49.00000,0.02799,1.12545,5.76073,2.30429,0.03478,9.25324
50.00000,0.02812,1.13557,5.84338,2.33735,0.03494,9.37935
