data,exp,hyp,lin,log
0.00000,0.00000,nan,0.00000,59.03492
175.38241,2.65968,nan,105.19307,98.38876
36.32707,12.39326,nan,210.38614,161.51404
428.97557,48.01504,nan,315.57921,258.90303
297.76486,178.37937,nan,420.77228,400.48133
611.91924,655.47110,nan,525.96536,589.47023
